,Smiles
51,CCOC(=O)N/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(c4cccc(Oc5ccccc5)c4)C(=O)[C@H]3CC[C@@H]12
52,CCOC(=O)CCN1C(=O)[C@@H]2[C@H]3C(=CC[C@H]2C1=O)C(=O)[C@H]1O[C@H]1[C@H]3O
53,COc1ccc(NC(=O)N2CCCC3(CCN(C(=O)c4cccc(F)c4)CC3)C2)cc1
54,Cc1c(O)noc1C1CCN(C(=O)NC2CC2c2ccccc2)CC1
55,Cc1ccc(COn2c(-c3ccc(Cl)cc3)nc3ccc([N+](=O)[O-])cc32)cc1
56,CN(C)CCCSc1nc2ccccc2[nH]1
57,O=[As](O)(O)c1ccc2nc3cc([As](=O)(O)O)ccc3nc2c1
58,Cc1noc(C2CCN(C(=O)NC3CC3c3ccccc3)CC2)n1
59,Nc1c2c(nc3ccccc13)CCC[C@H]2O
60,O=C(N/N=C/C=C/c1ccccc1)c1cc2c(ccc3ccccc32)o1
61,CCOC(=O)N1CCN(CC(=O)c2ccc3c(c2)CCN3)CC1
62,CC(=O)c1cccc(NC(=O)N[C@@H]2CCCC[C@H]2CN2CCC[C@@H](Cc3ccc(F)cc3)C2)c1
63,COc1ccc(Oc2ncc3nc(CCc4ccccc4)c(=O)n(C)c3n2)cc1
64,N[C@@H](C(=O)O)c1cc(O)ccc1Cl
65,CCCS(=O)(=O)O
66,Cc1noc(C)c1C(=O)N1CCC2(CC1)CN(c1cccc(-c3ccccc3)c1)C2
67,NCCSCCC(=O)O
68,NC[C@@H](CC(=O)O)c1ccc(Cl)cc1
69,Cc1noc(C)c1-c1cc(Nc2ccc(F)cc2)ncn1
70,Cc1cc(C)cc(NC(=O)CC(=N)NO)c1
71,CCOC(=O)c1c(NC(C)=O)sc2c(OC)cccc12
72,O=C(Cn1ccc(=O)[nH]c1=O)Nc1ccc(C(=O)O)c(O)c1
73,CN(C)CCOC(=O)C1(c2ccccc2)CCOCC1.Cl
74,CCOC(=O)C1CCN(C(=O)c2cccnc2Cl)CC1
75,CC(=O)Oc1cc(C(F)(F)F)ccc1C(=O)O
76,O=C(Nc1cccc2cccnc12)[C@@H]1[C@@H](C(=O)O)[C@H]2CC[C@@H]1O2
77,COc1ccc2c(c1)-c1c(sn(-c3ccc(OC)c(OC)c3)c1=S)C(C)(C)N2
78,Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1
79,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNS(C)(=O)=O)C(=O)C(C)(c1cc(F)cc(F)c1)O2
80,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNC(C)=O)C(=O)C(C)(c1cc(F)cc(F)c1)O2
81,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNC(C)=O)C(=O)C1(CC1)O2
82,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNC(C)=O)C(=O)C(C)(C)O2
83,O=C(O)CCc1nc(-c2ccccc2-n2cccc2)no1
84,COc1cccc(Cn2c(=O)c(-c3cc(F)cc(F)c3)nc3cncnc32)c1
85,Cc1ncc(CO)c(/C=N/CCCCCC/N=C/c2c(CO)cnc(C)c2[O-])c1[O-].[Mg+2]
86,COCCNc1ccnc(-c2c(C)noc2C)n1
87,CC(C)Nc1nc(Oc2ccc(Cl)cc2)cc(C(F)(F)F)n1
88,O=C(c1cccc(F)c1)N1CCC2(CCCN(c3cccc(-c4ccccc4)c3)C2)CC1
89,COc1cnc(-c2ccccn2)nc1Sc1c(Cl)cccc1Cl
90,CCC(C)(C)C(=O)O[C@@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
91,COc1cc2c(cc1OC)C(C(=O)Nc1ccc3c(c1)OCCO3)C(c1cccnc1)N(C)C2=O
92,c1ccc(CN2CCC3(CCNCC3)CC2)cc1
93,COP(=O)(OC)[C@@H](O)C(Cl)(Cl)Cl
94,Cc1noc(C)c1-c1nc(Nc2ccc(F)cc2)c2ccccc2n1
95,Cc1nnc(C)n1/N=C/c1ccc(-c2ccccc2)cc1
96,COC(=O)c1cc(NC(=O)CC2NC3CCCCC3NC2=O)cc(C(=O)OC)c1
97,CN1CCC2(CC1)CCN(S(=O)(=O)c1ccccc1)CC2
98,CCn1nc(C(=O)Nc2ccccc2C)c(Cl)c1Cl
99,CCOC(=O)C1=C(CN2c3ccccc3CC2C)NC(=O)NC1c1ccccc1
100,O=C(c1csnn1)N1CCC[C@@]2(CCN(c3ccccc3)C2)C1
101,Cc1nc2cccc([N+](=O)[O-])c2n1CCCN(C)C
102,COc1ccc(-c2nc3ccccc3c(=O)n2N)cc1
103,NC1CCCCC1.NP(=O)(O)N(CCCl)CCCl
104,N#Cc1cc(-c2ccc(Cl)cc2)cnc1Sc1ccc(F)cc1
105,O=P1(NCCCl)OCCCN1CCCl
106,O=C(Nc1cccc(F)c1)N1CC[C@@]2(CCCN(C(=O)c3ccco3)C2)C1
107,COc1ccc(Oc2ncc3ncc(=O)n(C4CC4)c3n2)cc1
108,COc1ccc(C(=O)Nc2ccc(NC(=O)c3cnccn3)cn2)cc1
109,CCCOc1ccc(C(=O)NC(=S)Nc2nc3ccc(C)cc3s2)cc1
110,COc1ccc2nc(N3C(=O)CC(Cc4ccc(Cl)cc4)C3=O)sc2c1
111,O=C1C[C@@H](O)[C@@H](O)[C@H]2[C@@H]3C(=O)N(Cc4ccc5c(c4)OCO5)C(=O)[C@@H]3CC[C@H]12
112,CC(Oc1ccc(-c2ccccc2)cc1)C(=O)O
113,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1
114,N#Cc1cccc(-c2nc(Nc3ccncc3)c3ccccc3n2)c1
115,O=C(CNS(=O)(=O)c1cccs1)N1CCC2(CC1)OCCO2
116,Cn1c(SCC(=O)N/N=C/C=C\c2ccco2)nc2ccccc21
117,C/C(=N\OC(=O)c1cccc(C)c1)c1sc(-c2ccccc2)nc1C
118,O=C1c2cccnc2C(O)N1C1CCCCC1
119,COCCn1c(=O)cnc2cnc(Nc3ccccc3)nc21
120,N[C@@]1(C(=O)O)CN[C@H](C(=O)O)C1
121,C[C@H](O)[C@@H]1C(=O)N2C(C(=O)O)=C(SCC/N=C/N)C[C@@H]12
122,Cc1nc2cnc(N3CCN(C)CC3)nc2n(-c2ccccc2)c1=O
123,COc1ccc(CNC(=O)/C=C\c2ccc3[nH]cc(CCN(C)C)c3c2)cc1
124,COc1cc(C2C3=C(N=C(C)/C2=C(/O)OCCC#N)c2ccccc2S3(=O)=O)cc(OC)c1OC
125,COC(=O)N1CCC2(CCN(Cc3nccs3)CC2)CC1
126,O=C(Cc1c[nH]c2ccccc12)OCC(=O)c1ccccc1
127,CNc1cc(C[S+]([O-])c2ccccc2)nc(-c2ccccc2)n1
128,CCN(CC)S(=O)(=O)N1CCC(C(=O)NC2CCCC2)CC1
129,C[C@@H](C(=O)Nc1ccc2ccccc2c1)[C@@H]1C[C@@]1(C)[C@@H](NS(=O)(=O)c1ccc(-c2ccccc2)cc1)c1ccccc1
130,CC(CC(=O)O)(CC(=O)O)C(=O)O
131,CCc1cc2cc(C)c(C)cc2nc1SCC(=O)NNC(=O)c1ccco1
132,Nc1nccc(-c2ccc3nc(C4COc5ccccc5C4)oc3c2)n1
133,Oc1ccc2c3c1O[C@@H]1[C@@H](O)CC[C@]4(O)[C@H](C2)N(CC2CCC2)CC[C@@]314
134,C[C@@H]1O[C@H]1P(=O)([O-])[O-].[Na+].[Na+]
135,Cc1sc2c(c1C)c(=O)n(-c1ccccc1)c1nnc(C)n21
136,O=C(c1ccco1)N1CCC2(CC1)CN(c1ncccn1)C2
137,CC(C)CNC(=O)O
138,CN(C)CCCNc1c2c(nc3ccc(Cl)cc13)CCCC2
139,CC(=O)c1cc(C#N)c(Oc2cccc(C(F)(F)F)c2)nc1C
140,O=C(NC1CCc2ccccc2C1)N1CCC(c2nc(-c3ccccn3)no2)CC1
141,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc21
142,CNC[C@]1(O)Cc2ccccc2[C@@H]1Oc1ccc(O)cc1C
143,COc1ccc(C(C)C)cc1CN[C@H]1C2CCN(CC2)[C@H]1C(c1ccccc1)c1ccccc1
144,COc1ccc(C(=O)N/N=C2/C(=O)c3c(C)cc(C)cc3CC2(C)C)cc1
145,O=C(NNC(=O)C1COc2ccccc2O1)c1ccccc1
146,C=CCn1c(SCc2ccc3c(c2)OCO3)nc2scc(-c3ccco3)c2c1=O
147,Br/C(=N\N=c1/nn[nH][nH]1)c1ccncc1
148,CNCC[C@H](Oc1ccccc1OC)c1ccccc1
149,CCOC(=O)N1CCN(S(=O)(=O)Cc2ccccc2)CC1
150,Cc1nn(-c2ccccc2)c(N2CCCCC2)c1/C=N/O
151,C[C@H](NC(=O)NC1CCCc2ccccc21)C(=O)O
152,COCC(=O)N1CCC2(CC1)CCN(c1ccccn1)CC2
153,CC(C)(CO)N1CCN(C(S)=Nc2ccccc2)CC1
154,O=C(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)N1CCC2(CCCN(Cc3nccs3)C2)CC1
155,Cc1onc(-c2ccccc2Cl)c1C(=O)Nc1nnc(Cc2ccc(Cl)cc2)s1
156,O=C(O)c1cc(/N=C\c2ccccc2O)cc(C(=O)O)c1
157,COC(=O)c1cc(C#N)c(NCc2ccc(Cl)cc2Cl)nc1C
158,CC(C)=C1C(=O)C(c2ccccc2)=C2CN3C(=O)N(CCc4ccccc4)C(=O)[C@]3(Cc3ccc(C(F)(F)F)cc3)[C@H]21
159,Cc1noc(C)c1C(=O)N1CCC2(CC1)CN(C(=O)Nc1cccc(F)c1)C2
160,C[N+](C)(C)c1ncnc2c1ncn2[C@@H]1CCCCO1
161,O=C(NC(NCc1ccccc1)C(Cl)(Cl)Cl)c1cccnc1
162,N[C@H](CCCCCP(=O)(O)O)C(=O)O
163,CCn1c(SCC(=O)NC(=O)NCc2ccco2)nnc1-c1cccs1
164,O=C(O)CCSCc1ccccc1
165,CCCNC(=O)OC[C@@H]1O[C@H](CCO/N=C2\c3cc(OC)ccc3O[C@H](c3cccc(OC)c3)[C@H]2O)C=C[C@@H]1Oc1ccc(OC)cc1
166,O=C(c1cccc(F)c1)N1CCC[C@@]2(CCN(c3ccccc3)C2)C1
167,Cc1ccc(OCC(O)CNC(=O)c2ccccc2C(=O)O)cc1
168,Cc1ccc(S(=O)(=O)N[C@H]2COC(=O)C/C=C/[C@@H](C)[C@H]3C=C[C@H](O)[C@@H](COC(=O)C/C=C/[C@H]2C)O3)cc1
169,C=CCNC(=O)c1ccccc1Cl
170,COc1ccc(OC)c(NC(=O)[C@H]2CC=CC[C@H]2C(=O)O)c1
171,O=C1[C@@H]2[C@H]3[C@H](O)[C@H](O)C/C(=N/OCc4ccccc4)[C@H]3CC[C@H]2C(=O)N1c1ccc(F)cc1F
172,CCCCCCCCCC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C
173,O=C(Nc1cccc(F)c1)N1CCCC2(CCN(C(=O)c3ccco3)CC2)C1
174,CN(C)C(=O)c1ccc(-c2cncnc2Nc2ccccc2)cc1
175,CCCCCCC1CC(C)(/C(C)=N/NC(N)=O)OC1=O
176,C[C@H](NC(=O)/C(C#N)=C/c1ccc(O)c(O)c1)c1ccccc1
177,Cn1cnc([N+](=O)[O-])c1Sc1nnc(-c2cccnc2)n1C
178,CCCC(=O)NC(Nc1ccccc1OC)C(Cl)(Cl)Cl
179,O=C1CC(c2ccc(F)cc2)Cc2nc(NCC3CCCO3)ncc21
180,COc1ccc(-n2c(=O)c(-c3cccs3)nc3cnc(OC)nc32)cc1
181,C[C@H](N)Cc1c[nH]cn1
182,COc1ccccc1-c1nnc2n1N=C(c1ccc(O)c(O)c1)CS2
183,COc1cc(/C=C2\SC(=S)N(Nc3ccccc3)C2=O)cc(OC)c1OC
184,O=C(Oc1ccccc1)N1CCC2(CC1)CCN(c1ncccn1)CC2
185,CNc1oc(-c2cccs2)nc1C#N
186,CN(C)c1nc(-c2ccc3c(c2)OCO3)nc2ccccc12
187,CCc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2
188,CC(C)(C)OC(=O)NCc1noc(-c2nn(Cc3ccc(C(N)=O)cc3)c3ccccc23)n1
189,NCc1noc(-c2nn(Cc3ccc(C(N)=O)cc3)c3ccccc23)n1
190,CCC[C@H](C[C@@H](O)N1CCC[C@@H](Cc2ccc(F)cc2)C1)NC(=O)Nc1cccc(-c2nnnn2C)c1
191,C[C@H](C[C@@H](O)N1CCC[C@@H](Cc2ccc(F)cc2)C1)NC(=O)Nc1cc(-c2ncco2)cc(-c2ncco2)c1
192,CC(=O)c1cc(NC(=O)N[C@H](C)CCN2CCC[C@@H](Cc3ccc(F)cc3)C2)cc(C(C)=O)c1
193,Cc1cc(NC(=O)N[C@H](C)CCN2CCC[C@@H](Cc3ccc(F)cc3)C2)cc(-c2nnnn2C)c1
194,C[C@H](CCN1CCC[C@@H](Cc2ccc(F)cc2)C1)NC(=O)Nc1cccc(-c2nnnn2C)c1
195,c1ccc(-c2ccccc2CN(C2CCOCC2)[C@H]2CCNC2)cc1
196,COc1cc2nccc(Oc3ccc4c(C(=O)Nc5ccc(Cl)cc5)cccc4c3)c2cc1OC
197,CCc1ccc(S(=O)(=O)Nc2ccccc2Br)cc1NC1CCN(C)CC1
198,O=C(O)[C@H](Cc1ccc(-n2c(C3(C(F)(F)F)CC3)nc3cccnc32)cc1)NC1=C(Br)C(=O)C12CCCCC2
199,Cc1ccc(S(=O)(=O)c2ccccc2)cc1S(=O)(=O)NCCc1ccccc1
200,COC(=O)C1=C(Cn2cncn2)NC(C)=C(C#N)C1c1ccc(F)cc1Cl
201,O=C(c1cccn2ccnc12)N1CCN(CCc2ccc(F)cc2F)CC1
202,C[C@@H](c1ccccn1)c1c(CCN(C)C)sc2ccccc12
203,C[C@@H](N[C@@H]1CCCc2c1[nH]c1ccc(Br)cc21)c1ccccc1
204,CC[C@H]1[C@@H]2[C@@H](O)CCN2C(=O)N1c1ccc(C#N)c(Cl)c1C
205,CN(Cc1ccco1)c1ncncc1-c1ccoc1
206,CO[C@H]1COC(=O)C/C=C\[C@@H](C)COC(=O)[C@@H](CCSC)NC(=O)C/C=C\[C@@H]1C
207,O=C1[C@H]2[C@H]3[C@H](O)[C@H](O)C/C(=N/OC[C@@H](O)COCc4ccco4)[C@@H]3CC[C@@H]2C(=O)N1c1cccc(Oc2ccccc2)c1
208,Cc1n[nH]c2cc(N(C)c3ccnc(Nc4cccc(S(N)(=O)=O)c4)n3)ccc12
209,O=C1CCc2cc(-c3cccnc3)ccc21
210,C=CC1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccccc12
211,CC(=O)N1C2C=C(CN3CCC(Nc4ccc5ccccc5n4)CC3)CC1CCC2
212,O=C(N[C@@H]1C[C@H]2CC[C@@H](C1)N2Cc1ccc2cc(F)ccc2c1)c1ccccc1OC1CCCCC1
213,CCCCOc1ccc(-c2ccno2)cc1
214,CCN(CC)CCN(Cc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)Cn1c(SCc2ccc(F)cc2)nc(=O)c2c1CCCC2
215,O=C(c1ccccc1)N1CCN(c2nnc(-c3ccccc3)c3ccccc23)CC1
216,CC[C@@]1(c2ccc(N)cc2)CCC(=O)NC1=O
217,CSc1cccc(NC(=O)CN(c2ccccc2)S(=O)(=O)N(C)C)c1
218,COC(=O)C1(Cc2ccccc2)C=C2C(=C(c3ccccc3)C(=O)C2C)CN1
219,C#CCN[C@@H](C)Cc1ccccc1
220,N#Cc1ccc(CN2CCC3(CC2)CCN(C(=O)c2cnccn2)CC3)cc1
221,O=C1/C(=N/CCc2cc(Br)c(O)c(Br)c2)C=C(O)c2cccnc21
222,O=C(CSc1nnc(-c2ccco2)n1-c1ccccc1)NCc1ccco1
223,CC(=O)c1c(C)[nH]c(C(=O)N2CCc3ccccc3C2)c1C
224,O=C(Nc1cccc(NC(=O)c2ccccc2[N+](=O)[O-])n1)c1ccccc1[N+](=O)[O-]
225,C#CCSc1nncn1C(=O)/C=C/c1ccccc1
226,CCn1nccc1C(=O)Nc1nc2ccccc2n1CCN1CCCCC1
227,O=S(=O)(NCc1cc(-c2ccccc2)no1)c1ccc(Cl)cc1
228,Cc1cc(C)nc(N=C(N)Nc2ccc(F)c([N+](=O)[O-])c2)n1
229,COc1cc(/C=C2/C(=N)N3OC(C)=CC3=NC2=O)ccc1OCCOc1ccc(C)cc1
230,N/C(=N/CCc1ccc(I)cc1)SCCCc1cnc[nH]1
231,Cc1ccc(NC(=O)CN(Cc2ccccc2)S(C)(=O)=O)cc1C
232,Cc1ccc(S(=O)(=O)NC(CC(C)C)C(=O)Oc2ccc3c4c(c(=O)oc3c2)CCC4)cc1
233,COc1cc(Cl)ccc1O[C@@H](c1ccccc1)[C@@H]1CNCCO1
234,c1ccc(Cn2nnc3c(N4CCc5ccccc5C4)ncnc32)cc1
235,CCN1C[C@@]2(COC)CC[C@H](O)[C@@]34[C@@H]2C[C@H]([C@@H]13)[C@]1(O)C[C@@H](OC)[C@H]2C[C@H]4[C@H]1[C@H]2OC(C)=O
236,CCCC1(C(=O)OC)C=C2C(=C(C(C)C)C(=O)C2C)CN1
237,O=C(O)c1ccc(SSc2ccc(C(=O)O)cn2)nc1
238,Cc1ccc(NC(=O)CCC(=O)NNC(=O)c2cccs2)c(C)c1
239,NS(=O)(=O)c1ccc(NC(=O)Nc2ccccc2F)cc1
240,CC[C@@H]1[C@@H]2Cc3ccc(O)cc3[C@@]1(CC)CCN2C.O=C(O)[C@@H](O)c1ccccc1
241,Cc1ncc([N+](=O)[O-])n1CC(=O)NCc1ccccc1
242,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[Na+].[Na+].[Na+].[Na+]
243,CCCCNC(=O)CN1C(=O)NC2(CCCc3ccccc32)C1=O
244,CC[C@]1(C)CC(=O)NC1=O
245,C[C@@H]1O[C@H](C[N+](C)(C)C)C[C@H]1O
246,CC(=O)N[C@H]1[C@@H](O[C@@H](C)C(=O)O)[C@H](O)[C@H](CO)O[C@@H]1O
247,C/C(=N\[N+](C)(C)C)c1ccc(C)c(C)c1
248,Cc1ccccc1-c1ccc2ncnc(N3CCNCC3)c2c1
249,Cc1ccc(S(=O)(=O)N[C@H]2COC(=O)[C@@H](C)COC(=O)C/C=C\[C@H]2C)cc1
250,CCc1sc(N(C(=O)Cc2ccccc2)c2cccc(F)c2)nc1-c1ccc(C)cc1
251,CCCN(CCC)CCCNC(=O)c1cc2cc3ccc(OC)cc3nc2o1
252,CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12.Cl
253,CC(=O)OC[C@@H]1O[C@H](C/C=N\O[C@@H](C)c2cn([C@H](CO)Cc3ccccc3)nn2)C=C[C@@H]1OC(C)=O
254,COc1[nH]c2ccc(F)cc2c1C(=O)OCC1CCN(CCNS(C)(=O)=O)CC1.NS(=O)(=O)O
255,CCOc1ccccc1C1C(C(N)=O)=C(C)Nc2nc(-c3ccc(OC)cc3)nn21
256,O=[N+]([O-])c1ccc(C2CCCC/C2=N\OCc2cccc(F)c2)c([N+](=O)[O-])c1
257,Cc1cc2sc(C)[n+](CCCOS(=O)(=O)[O-])c2cc1C
258,Cc1cc2c(c(=O)o1)[C@H](O)[C@H]1O[C@@H]1C2=O
259,C[C@@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1
260,O=C(O)C1CCCCC1C(=O)Nc1ccccc1Cl
261,O=C(Nc1ccccc1)N1CC[C@@]2(CCCN(C(=O)c3csnn3)C2)C1
262,Cc1ccc(C(c2nnnn2CC2CCCO2)N2CCN(C(=O)c3ccco3)CC2)cc1
263,CC1(C)OC(C(N)=O)C(C(N)=O)O1
264,O=C(O)CC[C@]1(C(=O)O)CCC(=O)c2ccccc21
265,C[N+]1(CCN=C=NC2CCCCC2)CCOCC1.Cc1ccc(S(=O)(=O)[O-])cc1
266,COC(=O)c1sc2ncccc2c1OCc1c(Cl)cccc1Cl
267,c1ccc(-c2ccc(-c3ccc(C4=NCCN4)cc3)o2)cc1
268,CN(C)/C=C(\C#N)C(=O)c1cccnc1Oc1ccc(F)cc1F
269,Cc1c(NC(=O)c2cccnc2)c(=O)n(-c2ccccc2)n1C
270,CC(C)CN1CC[C@@]2(CCCN(C(=O)c3cnccn3)C2)C1
271,COCC(=O)N1CCC[C@@]2(CCN(Cc3nccs3)C2)C1
272,COc1ccc(S(=O)(=O)NNC(=O)C2Cc3c(ccc4ccccc34)O2)cc1
273,c1ccc(N2CC[C@@]3(CCCNC3)C2)cc1
274,O=C(COC(=O)c1cccnc1)c1ccc(Cl)c(Cl)c1
275,Cc1cccc(NC(=O)CCCN2C(=O)c3cccc4cccc(c34)C2=O)c1
276,c1ccc2c(c1)CCC[C@H]2C1=NCCN1
277,O=C(Nc1ccccc1N1CCOCC1)c1ccc([N+](=O)[O-])cc1
278,O=C(O)C=Cc1ccc(Cn2ccnc2)cc1
279,C=C[C@H]1CN2CC[C@@H]1C[C@H]2[C@@H](O)c1ccnc2ccccc12
280,Cc1nc2cnc(N3CCOCC3)nc2n(Cc2cccs2)c1=O
281,COc1ccc(-c2cc3ccccc3n2CC(O)CNCCO)cc1.O=C(O)C(=O)O
282,CCOC(=O)C[n+]1c(C)sc2ccc(OC)cc21.[Br-]
283,COc1ccc2cc(C#N)c(SCC(=O)NNC(=O)Cc3ccccc3)nc2c1
284,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@@H]2C(=O)CC[C@]3(O)[C@H]1C5
285,COCC(=O)N1CCC2(CCCN(Cc3ccncc3)C2)CC1
286,Cc1ccccc1-c1cncnc1NCc1cccs1
287,c1ccc(CCc2cccnc2)nc1
288,COc1ccc(-n2c(=O)c(C)nc3cnc(N4CCOCC4)nc32)cc1
289,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O
290,COc1cc(OC)cc(C(=O)NCC(=O)OC2CCOC2=O)c1
292,CC(O)(CS(=O)(=O)c1cccc(C(F)(F)F)c1)C(=O)Nc1ccc(C(F)(F)F)cc1
293,CCOc1ccc(CCNC(=O)C2CC(=O)N(C3CCCC3)C2)cc1OCC
294,Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC(C)(C)C)cn1
295,OC1C2CC3CC(C2)CC1C3
296,COc1cccc(C(=O)/C=C/c2ccc(SC)cc2)c1
